nodenumber,sound-pressure,spl-db,particle-velocity,sound-intensity,sil-db
1,-7.924916512449273,111.95929400073427,0.014889398745708602,-0.1179972419803076,110.71871856401621
2,-7.853281878953568,111.88042380522329,0.016848623862358636,-0.13231699246356576,111.21615620901629
3,-8.407095729620778,112.47231993980816,0.02130303611170348,-0.17909666392265952,112.53087496214893
4,-9.221828587033087,113.27574099481643,0.022475713435596845,-0.20726717667435066,113.16530531626543
5,-9.952781156534913,113.9382891833718,0.0228925259301036,-0.227844300702622,113.57638169612088
6,-10.699695903473184,114.56682878188197,0.028223019110726003,-0.3019777219626804,114.79974904594386
7,-11.65761061296507,115.31159098550222,0.03092721571488255,-0.360537438147275,115.56950368463407
8,-12.472627121838741,115.8985588665563,0.03057193897700472,-0.38131239525178795,115.81280923033852
9,-13.36887723968539,116.50129879428765,0.03345488410172948,-0.44725423862392377,116.50554465063351
10,-14.492005220949068,117.20196972318504,0.03913639653842438,-0.5671648629639792,117.5370931756723
11,-15.773332485943685,117.93786924481354,0.043790259020966005,-0.6907183151832915,118.3930097197195
12,-16.697285652451683,118.43231762706928,0.04182096883153008,-0.6982966628423363,118.44039966553943
13,-17.1947689531371,118.68732697798599,0.03892562165503932,-0.6693170707156313,118.25631901685192
14,-17.34858157824783,118.76467953908886,0.0383003001516613,-0.6644558816524739,118.22466150077896
15,-17.774619727628306,118.97540644976714,0.03726507923033751,-0.6623726124391889,118.21102367085354
16,-17.875883585045813,119.02475044065906,0.03717563820526948,-0.6645473807571787,118.22525950617832
17,-17.620862994008352,118.89994357613844,0.03912014162312971,-0.6893306558473721,118.3842759282656
18,-18.17712814695551,119.16990546592287,0.03896208973486637,-0.7082188979838459,118.5016751121142
19,-18.65039089191123,119.3931588583234,0.043065948552396094,-0.8031967746331257,119.0482195582454
20,-18.894911193216103,119.50629718787329,0.045065246231331464,-0.8515038254414246,119.30186603401812
21,-19.1950490528543,119.64318461256585,0.04278178868003124,-0.8211985322820465,119.14448164490105
22,-20.815497571296877,120.34713602018023,0.049691920885322816,-1.0343620585015134,120.14672581781817
23,-22.24144893480116,120.92266161172958,0.054017806697970634,-1.2014342892428735,120.7970002266416
24,-23.54952566420252,121.41904336612987,0.054317563413690095,-1.2791528536276426,121.0692244402563
25,-24.85540273379593,121.8878161754267,0.05861590354339796,-1.456921889176492,121.63436268304665
