nodenumber,sound-pressure,spl-db,particle-velocity,sound-intensity,sil-db
1,-8.846786512454855,112.91511102984032,0.01623209874571785,-0.14360191225245206,111.57160223159474
2,-7.603281878953568,111.59942191724943,0.01571952386234443,-0.1195199709283416,110.77440478834923
3,-7.797715729626361,111.81874806024864,0.019105736111669103,-0.14898109900405254,111.73131173654379
4,-8.518708587027504,112.58687532468912,0.02137711343567616,-0.1821053997903556,112.60322823688308
5,-9.226221156539395,113.27987729921831,0.022434825930133684,-0.20698866563987806,113.15946564853887
6,-9.699695903473184,113.71456246376944,0.027277019110727,-0.2645787905272784,114.22555026827465
7,-10.548230612970656,114.44299240836293,0.028791015714830337,-0.3036942733416926,114.8243660265402
8,-11.12105712183984,114.90232151574345,0.026421538977047018,-0.2938354442106577,114.68104181844484
9,-11.697007239679804,115.34089526087065,0.027900684101666684,-0.32635450392921445,115.1368961065267
10,-12.906065220944585,116.19527719649359,0.03434509653851592,-0.4432600559457245,116.46658596934431
11,-14.304582485943685,117.08890381441572,0.04131825902095443,-0.5910404443408294,117.7161720026038
12,-15.384785652451685,117.72122908362759,0.04005096883150827,-0.616175570645778,117.89704475960718
13,-15.952578953132615,118.03601814126274,0.037613321655044274,-0.6000294833916665,117.78172590649844
14,-15.918891578257899,118.01765658313913,0.038361300151677824,-0.6106693779155675,117.85806142796378
15,-16.219939727627207,118.18038480801157,0.03699037923024662,-0.5999817216166734,117.78138019847088
16,-16.250883585045813,118.19693967077495,0.03693143820532896,-0.6001685029031142,117.78273199728773
17,-15.917742994017315,118.01702985383233,0.03793004162315583,-0.6037606543097739,117.80864807638851
18,-16.73180814695661,118.45025760986978,0.03761928973483464,-0.6294387384680273,117.98953467819626
19,-17.384760891916812,118.78277452315972,0.04166214855246153,-0.7242864908280618,118.59910384947314
20,-17.543351193220587,118.861651235287,0.042318646231422015,-0.7424108728594973,118.70644323647636
21,-17.859119052853202,119.0166007344107,0.039577388679958865,-0.7068172962364299,118.49307168407069
22,-19.659257571285707,119.850742341605,0.04694532088529968,-0.9229101550507648,119.6515942468261
23,-21.15550893479667,120.48786963767971,0.05063040669796237,-1.0711120212711325,120.29834893498337
24,-22.44795566420362,121.00293600537157,0.05108266341375156,-1.1467013635213312,120.59450328919785
25,-23.683522733801514,121.46832610015787,0.05580830354335831,-1.321737225704022,121.21145121737969
26,-23.980410039483104,121.57653218271292,0.053080936584251504,-1.272902624570151,121.04795181949518
27,-24.040855894520067,121.59839859098028,0.055228848067883966,-1.3277487776203414,121.23115910262152
28,-25.229828498515417,122.01768605434374,0.06527755059227047,-1.6469414062461476,122.16678148412842
29,-27.018049963095105,122.61248009603732,0.06865947256034133,-1.85504506007506,122.68354463333424
30,-27.71061098165228,122.83232211664496,0.06793767972880005,-1.8825946139608625,122.74756811852049
31,-28.53317016051733,123.08640061396164,0.06498355966306235,-1.854186965502288,122.68153523763193
32,-29.04840461655112,123.24184579181214,0.06233081045661493,-1.8106106022213064,122.57825059099056
33,-28.811254820146125,123.17064355819305,0.05552061573280298,-1.5996186076492012,122.04016447444708
34,-27.96762926860538,122.91251316874558,0.04897182961326507,-1.3696259752291078,121.36601983892434
35,-26.65875935653457,122.49619877436251,0.04885529859421922,-1.302421648514932,121.14751606335388
36,-25.272814064417616,122.0324721309794,0.047290540382903146,-1.1951650341029438,120.7742787888374
37,-23.49134593878989,121.39755809536206,0.042301035601155945,-0.9937082608758212,119.9725890020339
38,-19.69283040818118,119.86556290345231,0.031761362175473096,-0.6254711188544121,117.96207260933132
39,-16.714848596806405,118.44144902881071,0.02271679480952571,-0.37970778584593984,115.79449502368296
40,-14.59356303070672,117.26262685078451,0.014800620765754504,-0.21599379203862507,113.34441269104109
41,-12.564583316241624,115.96236189681221,0.012168414191535248,-0.1528910539360816,111.84382074425665
42,-11.079622387434938,114.86989926957241,0.010490345140624413,-0.11622906287198155,110.65314736202019
43,-8.723534224918692,112.7932494721077,0.006696611339918945,-0.05841811821476155,107.66547563214256
44,-7.811746934399707,111.83436339968708,0.008478034602205753,-0.06622826081351542,108.21043350411364
45,-6.709768527216512,110.51355085049799,0.006380720943241158,-0.042813160565910766,106.31577289634558
46,-5.538537975866348,108.8473028440653,0.006318175284150129,-0.034993453749445645,105.43986808167492
