nodenumber,sound-pressure,spl-db,particle-velocity,sound-intensity,sil-db
1,-7.799916512449273,111.82119917033349,0.014462098745696041,-0.11280316281122645,110.52321276705891
2,-7.80640187895915,111.82841819273159,0.0166045238624406,-0.12962158627897835,111.12677331945022
3,-8.360215729626361,112.42374977181049,0.0212420361117438,-0.1775880044306917,112.4941362706476
4,-9.182768587037573,113.23887288459473,0.022414713435694008,-0.20582912642474,113.13506830827299
5,-9.921531156534913,113.91097409738435,0.02283152593014393,-0.2265236958671577,113.55113638781872
6,-10.684075903482153,114.55413938158121,0.02807041911069064,-0.29990648842117473,114.7698586174162
7,-11.641980612970656,115.29993752136696,0.03077461571490403,-0.3582774795245348,115.54219510299495
8,-12.472627121838741,115.8985588665563,0.030541438977081725,-0.3809319801255324,115.80847434223128
9,-13.392317239675322,116.51651465509323,0.033546384101725835,-0.44926381813431293,116.52501443704644
10,-14.515445220939,117.21600730968382,0.03944159653849511,-0.572512333980903,117.57784847382484
11,-15.812392485939199,117.95935179887691,0.04394275902097888,-0.6948401525547635,118.41884906967225
12,-16.728535652451683,118.44855861201296,0.0420651688314706,-0.7036886765236552,118.47380562590759
13,-17.2181989531382,118.69915452080237,0.03916972165507104,-0.6744320603960589,118.2893820711216
14,-17.387651578246732,118.7842186669918,0.03845290015158298,-0.6686056300088358,118.25170029258459
15,-17.821499727622722,118.998285052707,0.0373870792303137,-0.6662938223196447,118.23665786636101
16,-17.938383585045813,119.05506621682107,0.037206138205363004,-0.6674179788460296,118.24397901462395
17,-17.683362994008352,118.93069732611109,0.03912014162312971,-0.6917756646988176,118.39965280325191
18,-18.23962814695551,119.19971968831013,0.03896208973486637,-0.7106540285922751,118.51658222330782
19,-18.69726089191681,119.41495984669416,0.043004848552470776,-0.8040728730029172,119.05295410575391
20,-18.94178119322169,119.52781639739936,0.04503474623135162,-0.8530383092065273,119.30968535391918
21,-19.2575490528543,119.67142034212289,0.042842788680104604,-0.8250471045681854,119.16478744513608
22,-20.86237757129129,120.36667610836949,0.04975302088524813,-1.0379663070203875,120.16183256294121
23,-22.28050893479667,120.93790222344131,0.05410940669798947,-1.2055851193911014,120.81197878817015
24,-23.60420566420362,121.43918788682528,0.0545921634137585,-1.288604652872168,121.10119695156423
25,-24.910082733797026,121.90690348592248,0.058890603543375164,-1.4669698065087156,121.66421175191886
26,-25.449160039483104,122.09286914336849,0.05662093658429512,-1.4409552767191505,121.58650501719264
27,-25.77523589451448,122.20345305930742,0.05867734806781755,-1.5124224881125308,121.79673126235176
28,-27.089208498509837,122.63532640388328,0.06845145059224933,-1.8542956171188865,122.68178971798338
29,-28.939919963100692,123.20934660052048,0.07140607256042131,-2.0664860247779533,123.15232472582964
30,-29.632480981657864,123.41476037351784,0.07080627972879938,-2.098165737445594,123.21839790823759
31,-30.62692016051733,123.70146661472744,0.06962225966299229,-2.132315388093271,123.2885144105737
32,-31.36871461654664,123.90933454969151,0.06699991045655906,-2.1017010704459804,123.22570945427769
33,-31.342504820146125,123.90207411322508,0.060922215732773566,-1.9094548402584384,122.80909391508244
34,-30.514509268599795,123.6695278880549,0.05559412961315502,-1.6964275833603573,122.29535325332004
35,-28.96344935653906,123.21640573121726,0.0538906985941594,-1.5608605195204466,121.93364095689527
36,-27.34312406441313,122.7163627466782,0.05113574038284696,-1.3982108934138051,121.45572681379795
37,-25.546035938779827,122.12587046304087,0.047885735601198576,-1.223290722623127,120.87529682078522
38,-21.3334604081756,120.56062621050964,0.035881162175542165,-0.7654693526712564,118.83927807402401
39,-18.011728596815374,119.09050797335384,0.026195794809552808,-0.4718315464875301,116.73786974293205
40,-15.929503030711205,118.02344462422886,0.016296020765707908,-0.25958751217587683,114.14283796281046
41,-13.720823316252789,116.72700352547251,0.012870314191445686,-0.17659130704548714,112.46969321013368
42,-12.110862387446106,115.64290147439408,0.0124129451405679,-0.15033147042033568,111.77049905398778
43,-9.387594224914212,113.43048626918578,0.007734211339936792,-0.07260563770905662,108.6097034426584
44,-8.26486693440529,112.3241174018722,0.010217534602190879,-0.08444656388478933,109.2658198290365
45,-7.514458527220995,111.49735392460065,0.007998120943227605,-0.0601015481235815,107.78885658905723
46,-6.460417975875317,110.18461242415752,0.006440175284126326,-0.04160622417335764,106.19158304711928
47,-6.448092420541798,110.16802515845407,0.007172656143666245,-0.046249949715126866,106.65111264892245
48,-6.236304849066073,109.87794681946585,0.0092406748593703,-0.05762766543413396,107.60631026147207
49,-6.885135998003534,110.73765054749472,0.014495689477541871,-0.0998047934377046,109.99151400140595
50,-7.694454307260457,111.70295658631687,0.02231123694923554,-0.17167279324435405,112.34701473494759
51,-6.293111287755893,109.95670832481943,0.009415900023896029,-0.05925530672476108,107.72727250514673
52,-5.50459183647763,108.79390252113261,0.007588095142523343,-0.04176936657594955,106.20857889326513
53,-5.131365743392962,108.18405949764707,0.010003947549364513,-0.05133391375350903,107.10404376607471
54,-4.6258298346801885,107.28319314301004,0.013806599479551096,-0.06386697978798743,108.05276379248257
55,-3.0999528247048147,103.806501781946,0.008468446392839724,-0.0262517843163448,104.19158827452702
56,-1.81658869353123,99.16453222285959,0.004517591662931864,-0.00820660593687297,99.14163580060215
57,-1.882004136990872,99.4718115617474,0.009022852943246562,-0.016981046566650296,102.29964452934706
58,-2.3634066612139577,101.45016919161516,0.008494277908312142,-0.020075432990707482,103.02664920996651
59,-2.3912261553341523,101.55181313449751,0.0064354017526966345,-0.015388500991131437,101.87196316843388
60,-2.801404661790002,102.92691702712507,0.006211092454691425,-0.017399783357381262,102.4054384096768
61,-3.9556834261165936,105.92383064010664,0.011379262879358977,-0.04501276157330408,106.53335658111915
62,-6.2861823806742905,109.94713962726036,0.016852737339945634,-0.10593938053249796,110.2505742912342
63,-9.83686532023421,113.8365345939367,0.023829241200360233,-0.23440503637131976,113.69966938595094
64,-13.34822986103245,116.48787362162041,0.02886602728011667,-0.38531036730983065,115.8581069446558
65,-17.150387131798198,118.66487864112548,0.03457756911859633,-0.5930186964604373,117.7306838584588
66,-21.82759549233015,120.75951802405643,0.04371087914654481,-0.9541033886249094,119.79595438306204
67,-27.611819234312858,122.80130051751,0.058479067808491436,-1.6147134493191901,122.08095462629248
68,-33.61119159621012,124.50907827689257,0.07269559919444646,-2.443385712725838,123.879920300868
69,-36.59135500020057,125.24696992620069,0.07465602190626441,-2.7317650004748715,124.36443336522422
70,-36.95384315833508,125.33259231111515,0.07912897643666382,-2.9241197845200677,124.65995159219663
71,-36.97955322214693,125.3386332830383,0.07942051177275289,-2.9369350420306626,124.67894341075196
72,-37.076936076569844,125.36147685074488,0.07648863548155305,-2.8359642483335934,124.52700751599424
73,-38.14060175075429,125.60715090075779,0.08008840943978157,-3.0546201292940585,124.84957209338265
74,-38.517323038875475,125.6925220057995,0.08162683621537781,-3.1440472191490865,124.97489059906141
75,-36.28942438364903,125.17500167779815,0.07618254399596935,-2.7646206696957445,124.41635550700607
76,-33.01685957866721,124.35411534017034,0.06995923628511491,-2.309834280656439,123.63580822498993
77,-30.289715235485343,123.6053038945867,0.06256298129017067,-1.895014887562268,122.77612626209499
78,-27.593449624924695,122.79552004006551,0.05823317898904179,-1.6068542909333474,122.05976496855033
79,-25.07949635354453,121.96577630160631,0.053638292289178935,-1.345221355876819,121.28793753279707
80,-23.206051849061623,121.29142525170307,0.04860817158919417,-1.128003750186924,120.52310543515036
81,-22.15529957228864,120.88895262089069,0.04685539256229277,-1.0380952587947812,120.16237207530484
82,-20.98412140359869,120.41721589071142,0.04528106252047337,-0.9501833132135558,119.77807399222624
83,-19.84073297008581,119.93055432915584,0.04565425393826672,-0.9058138613376384,119.57038962247124
84,-19.839899677957877,119.93018952229782,0.044836512594315536,-0.8895519117807149,119.49171297380109
85,-20.10402029810939,120.04505836816051,0.045449797166497774,-0.9137236447802258,119.60814863463496
86,-20.246849151953942,120.10654903043516,0.0461560323369099,-0.9345142241781228,119.70585916132244
87,-10.014249418949477,113.99176816495537,0.028721531138671708,-0.2876245765167824,114.5882599224494
88,-20.663809053439763,120.28360768732661,0.0458525503928513,-0.9474883459311036,119.76573876868143
89,-20.787282050063368,120.33535426216689,0.04690897635100555,-0.9751101220881048,119.8905366463655
90,-7.811030651035253,111.8335669269442,0.01941076079356208,-0.15161804751842675,111.80750899654612
91,-20.097330506090657,120.04216757993822,0.0437776731484405,-0.8798143660518191,119.4439104907764
92,-19.26052249391796,119.67276137400421,0.04163983543770655,-0.8020049870909892,119.04177068856936
93,-18.905119017741526,119.51098840314128,0.040745728129707004,-0.7703028397566497,118.86661498910624
94,-6.212563860215597,109.84481740604458,0.019827070941175858,-0.12317694438307998,110.905294264629
95,-18.639149418537272,119.3879218830622,0.03866106306674055,-0.72060933118047,118.57699881508378
96,-18.26673701354593,119.21261961223637,0.04230156755335202,-0.7727116097578292,118.8801743743706
97,-4.763721177281695,107.53832676883071,0.02065167135197044,-0.09837880416564326,109.92901539229423
98,-17.76457126699097,118.97049469910476,0.043865092508497135,-0.7792445620003492,118.91673780212295
99,-16.631690557129332,118.39812800835293,0.0409810454974604,-0.6815840674213997,118.33519429892678
100,-14.943275642464867,117.46831623646315,0.0360187495054447,-0.5382381021567554,117.30974438449492
101,-2.3444437017024033,101.38019625211581,0.016693535641024937,-0.0391370544927455,105.92588136966242
102,-13.228582862619078,116.40966652767469,0.03130262862418931,-0.4140894165728801,116.17094130809707
103,-11.606761585251661,115.27362136031833,0.03154750582257293,-0.36616437869194257,115.63676092860304
104,1.2822978079639142,96.13917808390732,0.002340439780653014,0.0030011408004029048,94.77286371100824
105,4.649256131000584,107.3270695357256,0.008329729882348147,0.038727047725085895,105.88014390722869
106,6.815833412154461,110.64977943003231,0.010201743102697948,0.06953338150158499,108.42193350222219
107,8.176854909470421,112.23112592026214,0.013332077728762215,0.1090144652298706,110.37484128699344
108,10.467869803193024,114.376566333776,0.016216994649994376,0.16975738859521894,112.29828685787888
109,12.735360470192974,116.0796249274443,0.022340759643100228,0.2845176272328211,114.54109178192587
110,14.918226724621489,117.45374415068544,0.0216431543489648,0.3228774836138345,115.0903775984149
111,14.655910394823875,117.2996561084572,0.030091727383933176,0.4410216601643925,116.44459919760051
112,11.485891425109005,115.18269421923485,0.027587553318028316,0.3168676420952788,115.00877892150328
113,8.744584206375292,112.81418337005866,0.017833280221395853,0.15594462057188307,111.92970398033579
114,5.541440862420132,108.85185414387965,0.013175356480530807,0.07301045877816531,108.63385077439548
115,-14.090201737184547,116.95774431046725,0.03768159767304269,-0.5309413129925952,117.2504651947688
116,1.3663744879449953,96.69079497785569,0.002067405680918455,0.002824850378639528,94.50995449871542
117,-12.135245691533784,115.6603715573472,0.033392625168517036,-0.40522771070524893,116.07699136083328
118,-3.5071306247264147,104.87843892041208,0.0145116677328474,-0.050894314321723255,107.0666926766832
119,-8.801741657633102,112.8707724330382,0.024396559986030297,-0.21473221833198766,113.31897210687069
120,-10.088902824325489,114.0562788658691,0.029215173316060824,-0.2947490445815647,114.69452406019455
121,-14.70955444505671,117.33139044815904,0.031081497337936526,-0.4571949773262625,116.60101450657037
122,-8.248920270998497,112.30734220672431,0.02275609922435251,-0.18771324818061455,112.73494924772095
123,-19.891259212949077,119.95264562545367,0.04405637429312037,-0.8763367610471636,119.42671030094525
124,-25.879749809770146,122.23860155697709,0.05869421161526134,-1.5189915118846684,121.81555347034643
125,-5.848995196414763,109.32102538055746,0.014097360947175732,-0.08245539646215591,109.16219084201784
126,-33.769663682760445,124.54993479575752,0.07604090254432094,-2.5678757050552807,124.09573998401865
127,-1.7016494069830514,98.59680182100078,0.004510596368959341,-0.0076754536363795684,98.85104052677484
128,-42.48139874417393,126.5433762448343,0.09508662016759216,-4.0394126265752925,126.06318218679199
129,2.6055628542235354,102.2974311697884,0.002386094801636318,0.006217119981799466,97.93589248730652
130,-49.60415457788622,127.88976113051176,0.1106227133738571,-5.48734617402201,127.39362358906708
131,-51.693542520632036,128.24812598813006,0.11457602285344134,-5.922840509219278,127.72530038077619
132,-47.627220697904704,127.53650486380026,0.10473684738383326,-4.9883249455525895,126.97954736198622
133,6.221079446855582,109.85671503821828,0.009058046221355198,0.0563508251763407,107.50900280043304
134,-41.752547493335435,126.39305966085928,0.0866766594098749,-3.618971338574462,125.58585143608822
135,-37.671250906860216,125.49960091814272,0.07981563072189601,-3.0067546512138463,124.78097991462276
136,-34.31545471266145,124.68919524837864,0.0777294840797822,-2.6673225907783054,124.26075543219929
137,10.244477978281793,114.18919675107374,0.016122997120589844,0.1651716889457834,112.17935609641165
138,-29.94169584965857,123.5049279756596,0.06969980854438518,-2.0869304682154146,123.19507979600478
139,-25.828733486137928,122.22146230738615,0.06283955618550863,-1.6230661491026932,122.10336220137295
140,14.512172217931948,117.21404855829235,0.020381965896433485,0.2957865992290584,114.70978494161524
141,-22.46999754296849,121.0114605853252,0.05719330527819011,-1.2851334290751784,121.08948220665577
142,-19.679056434106318,119.85948551000394,0.053372561327989836,-1.0503216464063123,120.21322316087324
143,-18.656774858027347,119.39613150041849,0.05085729211970147,-0.9488330489661988,119.77189803269012
144,18.150219655246477,119.15703779205194,0.027393095481613727,0.4971907000284289,116.96522996550242
145,-16.22887493937742,118.18516835809886,0.04931491328011362,-0.8003255602692065,119.03266687325804
146,-18.383117856050376,119.26778351699718,0.0498330776370608,-0.9160873393317971,119.61936881071381
147,-17.951929847055,119.06162293539808,0.04957438534194125,-0.8899558878694009,119.493684806565
148,21.881294547158173,120.78086033213845,0.032982939058797456,0.7217094045765152,118.58362364614766
149,-17.804987554744002,118.99023357570101,0.04825992130605528,-0.8592672982472391,119.34128283849941
150,-15.199242267597587,117.61583883613709,0.04068535626328185,-0.6183865865891395,117.91260060739668
151,-18.20871214156796,119.18498469225156,0.05060714322632976,-0.9214909033153392,119.64491052350044
152,24.683899702286,121.82767554839589,0.049940967088730304,1.2327378226533847,120.90870721135798
153,-18.78376418085827,119.45505263250557,0.054282452929214735,-1.0196287949809089,120.08442091729292
154,-13.454494790028546,116.55674798375544,0.043670745728775266,-0.5875678208844684,117.69058002919806
155,-18.083944743368196,119.12526351372335,0.05665815100689998,-1.02460287207019,120.1055556891538
156,25.974427041874147,122.27031961531095,0.05591418511460233,1.452338921865084,121.62067976364014
157,-17.84389223130711,119.00919191959372,0.0560732969411788,-1.0005658676724771,120.00245683701964
158,-19.31200216090656,119.69594611368906,0.06390135578658374,-1.234063121035364,120.91337373972964
159,26.22083484184986,122.35233038714779,0.048731105754768585,1.2777702756565064,121.06452781066031
160,-11.830185831902783,115.43923142076008,0.032097276476577015,-0.37971674541586775,115.79459749842852
161,-20.291425087751122,120.12565106781388,0.06696515148553317,-1.358818354858602,121.33161404668381
162,-20.039935170279925,120.01732633158737,0.06205735178264149,-1.243625306563391,120.94689550930669
163,26.00665503130585,122.28109002578199,0.050164078177431286,1.3045998761239137,121.15477332948771
164,-9.372800524623017,113.41678757292509,0.027576035332060652,-0.25846467842736104,114.12401201154468
165,-19.650065076551982,119.8466799466904,0.058232301421753625,-1.144268512494849,120.58527947369228
166,-18.735577637475213,119.4327418345169,0.054730194823548566,-1.0254018142307384,120.10894081496912
167,25.978629419143548,122.27172478327394,0.047204426984990284,1.2263063155860818,120.8859896492353
168,-17.216598338185577,118.69834703733014,0.055333790861425314,-0.9526596517903232,119.78937771834693
169,-6.07212081218313,109.64620816246132,0.024779501683042326,-0.1504641278851282,111.7743297223222
170,25.301782950933557,122.04242260388807,0.04566644956139498,1.1554425949421707,120.6274837359778
171,-15.573806386644721,117.82729551172892,0.05507936299909488,-0.8577953352476267,119.33383680185028
172,-2.6173940540320477,102.33678231642776,0.0214052883489444,-0.05602607444936852,107.4839019404168
173,25.98751636011002,122.27469560160385,0.047635969050872966,1.237940525039256,120.92699780170591
174,24.472658447077265,121.75302306687828,0.05156762951150995,1.261996983960605,121.0105831699145
175,1.4594887308194302,97.26341500692035,0.014584862785568475,0.021286442876084874,103.28103093643223
176,-16.63197145742015,118.39827470710932,0.057394906199476736,-0.954590441711004,119.79817081472768
177,19.01739795252797,119.56242197685042,0.0455648270787492,0.8665244491946962,119.37780820945544
178,6.220466721832054,109.85585950758484,0.007628864807486478,0.047455099660325344,106.76282889794558
179,12.435120884343634,115.87240031655271,0.022166452528438185,0.2756425167681934,114.40346206608885
180,-15.719686555545195,117.9082777292433,0.058092964628087884,-0.9132031950359156,119.60567422292618
181,11.336933593032882,115.06931214133124,0.0037363597706416844,0.04235886259944434,106.2694429011777
182,3.6831979070848324,105.30390119010526,0.0007993969292670045,0.0029443370968062718,94.68987530835942
183,16.690094713267168,118.42857611129702,0.024158634520404117,0.4032098982887506,116.05531184943963
184,-15.000517029518962,117.50152465343041,0.05983467339581239,-0.8975510372295887,119.53059153135577
185,-6.1884213130688295,109.81099755026727,0.019196998685913517,-0.1187991158148615,110.74813208337468
186,-16.65873316989746,118.41223952604463,0.038588122821522575,-0.6428292416109752,118.08095624129642
187,21.75368110090494,120.73005524038669,0.036519540990980204,0.7944344486692094,119.0005806799308
188,-27.45804088334262,122.7527910332229,0.060088519000998986,-1.6499130113489398,122.17461047433886
189,-13.15094016949297,116.35853612548277,0.041117444723852266,-0.5407330554858154,117.32982919189615
190,-33.006861901900265,124.35148480933228,0.0923313154098082,-3.047566976952336,124.8395325896677
191,-36.89941862733394,125.31979055953312,0.09940561205189624,-3.668009293009272,125.64430427297201
192,26.47528616950149,122.43621334798692,0.050538044165534764,1.3380091817294375,121.26459093671528
193,-39.74542078183731,125.96514207047478,0.1119708349331745,-4.450327949712669,126.48392015812985
194,-10.072020340579913,114.04173197000459,0.0396422277587476,-0.39927732433200736,116.01274646540148
195,-38.58238035254181,125.70718044820362,0.11340351591428545,-4.375377584320488,126.41015537520842
196,31.067273974273117,123.82546303410484,0.057012164115633375,1.7712125224466044,122.48270674001131
197,-34.34219436290732,124.69596092316849,0.09211448084153062,-3.1634134046981472,125.00155950577532
198,-6.900668626723928,110.75722354444594,0.030124996193478637,-0.20788261611251574,113.17818173592809
199,-27.198669764504302,122.6703533673583,0.08332733713666585,-2.26639272513569,123.55335167478451
200,33.90957503209938,124.5858470280381,0.058450977232269004,1.9820477981571585,122.97114123522414
201,-19.36918789651827,119.72162833026674,0.068978795300211,-1.3360632470452585,121.25827017415425
202,-13.472424435487484,116.56831521455656,0.05708538546548425,-0.769078542054412,118.85970694338505
203,-3.9240442610171162,105.8540780333918,0.02506346136789261,-0.0983501317419032,109.92774946001602
204,-15.83455603409675,117.97151791117274,0.057940440955178474,-0.9174611589450478,119.62587687296991
205,36.24132274715521,125.16348089292343,0.0615064520916917,2.2290751812874383,123.48124716424452
206,-9.4359653860447,113.4751268685978,0.04823735428709597,-0.4551660053674125,116.58169818781006
207,-6.107612452833563,109.69682952495279,0.04285002943572636,-0.2617113733859271,114.17822596508509
