nodenumber,sound-pressure,spl-db,particle-velocity,sound-intensity,sil-db
1,-5.049916512449272,108.04508405114387,0.007961898745691087,-0.04020692394631457,106.04300848426394
2,-6.032971878958051,109.59002610625315,0.011599623862423414,-0.06998020456849123,108.44975207693004
3,-6.743035729625263,110.55650930468737,0.01715263611163209,-0.11566083815799573,110.63186335175543
4,-7.573388587028602,111.5652049035841,0.018416913435657992,-0.13947844202190596,111.44507087649536
5,-8.288721156539395,112.34915067962909,0.01999342593012443,-0.1657199324987257,112.19374747728857
6,-9.199695903473184,113.25486952574823,0.024530419110647017,-0.2256723962026997,113.53478440291754
7,-10.204480612970656,114.1552181851337,0.026471715714933453,-0.27013010980510904,114.31572995121924
8,-11.027317121828673,114.82879736922872,0.026452038977140543,-0.2916950223199013,114.64929018091757
9,-12.111067239675322,115.6430483928174,0.02976228410159365,-0.3604530239607205,115.56848673316222
10,-13.351375220940099,116.48992011250088,0.03614569653842637,-0.4825947571067661,116.83582599437729
11,-14.671762485944784,117.30904584271792,0.03994495902094286,-0.5860629512660711,117.67944267757198
12,-15.494155652442716,117.7827583771858,0.04069186883151588,-0.6304861494642893,117.99675550421708
13,-15.999458953127034,118.06150601778343,0.0417942216550955,-0.6686849338485934,118.25221538213913
14,-16.4188915782579,118.28627678709695,0.041413100151601163,-0.6799572013086751,118.32481577676188
15,-17.05587972761714,118.61688258386528,0.04016417923037352,-0.6850354103117091,118.35713021281485
16,-17.39151358504023,118.78614769345177,0.038976138205271134,-0.6778540370893783,118.31136186918444
17,-17.433362994008352,118.80702354763422,0.03921174162314856,-0.6835925253436148,118.3479730533634
18,-17.92712814695551,119.04961454519736,0.03774138973483332,-0.6765947302205482,118.3032861088464
19,-18.19726089191681,119.17952051779444,0.0389155485524384,-0.7081563897607771,118.50129178184002
20,-18.59804119321052,119.36874419282341,0.04192194623129808,-0.7796660829092382,118.91908641921397
21,-19.10130905284313,119.60066271433996,0.04101178868000943,-0.7833788503867537,118.9397184231484
22,-20.604567571295775,120.25867017480779,0.047708320885305966,-0.9830093213943484,119.92557636052824
23,-22.014878934802255,120.83372611693342,0.05389580669788074,-1.186509659547349,120.74271278222162
24,-23.39326566421369,121.3612171444936,0.0547752634137737,-1.2813722888656924,121.07675327644877
25,-24.777272733801514,121.86047011311892,0.059256803543291874,-1.4682219827254386,121.6679172219074
26,-25.699160039483104,122.1777786652693,0.05900133658423101,-1.5162847914215625,121.80780778952324
27,-26.478355894520067,122.43722039081612,0.062095248067862485,-1.6441800776993722,122.1594938161536
28,-27.92513849851093,122.89930680142757,0.07113695059223346,-1.9865091976498488,122.98090580204031
29,-29.768049963095105,123.45440780551607,0.07314557256040644,-2.1774010585573773,123.37938429719276
30,-30.39811098165228,123.63633201170157,0.07266787972884002,-2.2089662727986394,123.44189084975436
31,-31.65817016051733,123.98911626808977,0.07294865966304087,-2.309421080594215,123.63503125773704
32,-32.759334616552216,124.2861015288943,0.06971601045660236,-2.2838501146788905,123.58667598477554
33,-32.990944820150624,124.3472951544033,0.06305841573276894,-2.0803567138858976,123.18137808803972
34,-32.25669926860429,124.15179859218641,0.05812712961318312,-1.87498933927963,122.7299880278097
35,-30.44000935653457,123.6482957185273,0.05636259859420534,-1.7156780285662132,122.3443578961013
36,-28.53062406441313,123.08562551268824,0.05250904038285853,-1.4981156911464244,121.75545352806981
37,-26.86634593878989,122.56357213772536,0.05139523560114867,-1.3808021792660703,121.40131463801669
38,-22.349090408170014,120.96459713384131,0.038749862175563976,-0.8660241730658069,119.37530014514543
39,-18.613288596810893,119.37586230835969,0.028301494809625183,-0.5267838906126989,117.21632485490608
40,-16.44513303070562,118.3001479067213,0.017791320765695673,-0.2925806367838207,114.66245580790657
41,-13.986453316247209,116.8935520885489,0.01375531419142817,-0.1923880597887228,112.84178114849487
42,-12.228052387436035,115.72654589997944,0.013694645140560624,-0.16745883820612165,112.23908073839786
43,-8.973534224918692,113.03867055759409,0.007245911340021394,-0.06502143340040846,108.13056539306923
44,-7.538306934395223,111.5248764162788,0.009332534602208398,-0.07035151030731092,108.47273425311495
45,-6.9363285272120265,110.8019931779763,0.0061976209432259574,-0.042988734949344916,106.33354665107643
46,-5.624477975870832,108.9810444971642,0.003449475284128312,-0.01940149776389047,102.87835258047986
47,-5.229342420541798,108.34834169930443,0.0021982561436857395,-0.011495434103392464,100.60525376227147
48,-4.931614849061589,107.83918311811077,0.0046630748594225216,-0.02299648921901389,103.61661539096315
49,-4.73669599799905,107.48891033720881,0.00820908947747512,-0.0388839612751725,105.89770501941365
