nodenumber,sound-pressure,spl-db,particle-velocity,sound-intensity,sil-db
1,-8.143656512460439,112.19578903615907,0.01568279874578593,-0.127715326139726,111.06243016750686
2,-7.939221878958051,111.97495887522548,0.0172759238623712,-0.13715739270735092,111.37219220802977
3,-8.453975729615195,112.52062002043341,0.02139453611169984,-0.18086888903468626,112.57363870991787
4,-9.253078587033087,113.30512510024124,0.02253681343569269,-0.20853490582176765,113.19178760206528
5,-9.976221156539395,113.9587214502602,0.023014625930159127,-0.2295989981142937,113.60969988628449
6,-10.691885903477667,114.56048639900813,0.028314619110631163,-0.3027366769312967,114.81065039469793
7,-11.641980612970656,115.29993752136696,0.03104931571488123,-0.3614755315986524,115.58078905084676
8,-12.441377121838741,115.87676917824413,0.030419338977083044,-0.3784584680109385,115.7801822702412
9,-13.290757239679804,116.45039459744216,0.03299708410162338,-0.4385562344119744,116.42025289216215
10,-14.398255220949068,117.14559743720314,0.03858709653849246,-0.5555868641966147,117.44751969113156
11,-15.679582485943685,117.88608996993251,0.04342395902096996,-0.6808695473355368,118.33063910298344
12,-16.619155652442714,118.39157919433458,0.04151586883153868,-0.6899586861577364,118.38823086518568
13,-17.11663895312813,118.64776988768642,0.03852882165506344,-0.6594839295591856,118.19204217033555
14,-17.2313915782579,118.70580712187314,0.038178200151662615,-0.6578635165664037,118.18135802200143
15,-17.641809727618238,118.91026276205211,0.03714297923022514,-0.655269372296508,118.16419869232692
16,-17.73526358504023,118.95615303527072,0.03714513820528964,-0.6587788169735599,118.18739625987396
17,-17.456802994012833,118.81869430230223,0.039089641623149866,-0.6823801729218913,118.34026399584276
18,-18.028688146965575,119.09868261755051,0.03902308973488289,-0.7035351153612572,118.47285779136824
19,-18.517570891912328,119.33108040596191,0.04321854855237461,-0.8003025366641519,119.03254193449624
20,-18.738661193216103,119.43417126581446,0.0448821462313731,-0.8410313318540814,119.24812175343537
21,-19.03880905284313,119.57219565050966,0.0425070886799972,-0.8092843447707365,119.08101139249041
22,-20.67487757129129,120.2882590168517,0.04953932088528745,-1.0242193942682318,120.10392995228048
23,-22.12425893479667,120.87677473995392,0.053682106697976906,-1.187676828751424,120.74698283588512
24,-23.440145664208107,121.37860621057423,0.05395136341377338,-1.2646278172014758,121.01962730477543
