nodenumber,sound-pressure,sound-intensity,rms_spldb,rms_sildb
1,19.92023189465245,2.7937689474969516,119.96528788291349,124.46190485895417
2,19.845307727768244,2.790413573846453,119.93255683884581,124.45668575864383
3,19.841634971746643,2.79008883542414,119.93094919908359,124.45618031273703
4,19.840782330356156,2.791577152147223,119.93057593810185,124.4584963515574
5,19.83922718962763,2.7931437209287346,119.92989510254208,124.46093282854754
6,19.840519144465972,2.7948168180554513,119.93046071992546,124.46353347995324
7,19.842372786437128,2.7967256889217986,119.93127217941434,124.46649871580753
8,19.84605839715558,2.7991364962942,119.93288538543366,124.47024076794852
9,19.84907276167331,2.8020375341785733,119.93420456170622,124.47473948500598
10,19.853482864698726,2.8056079148742836,119.93613419407995,124.4802697805928
11,19.854197363433514,2.80818232386703,119.93644678132364,124.48425301349087
12,19.854335932968286,2.8105693976816943,119.93650740303823,124.48794313221954
13,19.84956932256446,2.810996476619287,119.93442185241807,124.48860301251068
14,19.84520282720649,2.810836394316107,119.93251092587116,124.48835568085734
15,19.83325959764568,2.8079658794082953,119.92728201473497,124.48391826223178
16,19.821332238747885,2.8049139962118357,119.92205690856761,124.47919549533984
17,19.810139774360366,2.7999684868196195,119.91715088272025,124.47153143457447
18,19.803784432499537,2.795075667880794,119.91436389306477,124.46393569538458
19,19.80669562174229,2.7929206785158147,119.91564063944548,124.46058601518382
20,19.814856383577,2.791730890114555,119.91921866575053,124.45873551998724
21,19.840543946004747,2.796780156466623,119.93047157767029,124.46658329587167
22,19.87416980237046,2.8052897184715233,119.94518000785166,124.47977720007876
23,19.92715901185154,2.8216709286687203,119.96830781344033,124.50506363707304
24,19.98621169901092,2.8423536942976306,119.99400975184466,124.53678119307183
25,20.048507889604487,2.8654574461735973,120.02104120247796,124.57193963298316
26,20.100895410720927,2.886571016439401,120.0437081637607,124.6038224663228
27,20.139211639810426,2.901182100276468,120.06024940394096,124.62574989286352
28,20.148331415975356,2.9054948613159506,120.06418180411416,124.63220111678389
29,20.126009359206428,2.896679777679514,120.05455349300037,124.61900487446258
30,20.0793517718793,2.8775222365994346,120.03439385135927,124.59018688407865
31,20.01089698494273,2.848993381299779,120.00473121164846,124.54691440300087
32,19.94787774638726,2.8195515460105827,119.97733404500993,124.50180038609895
33,19.90259931082652,2.7946009827097935,119.95759607986892,124.46319807436
34,19.88616824598834,2.7800509668013036,119.95042227516491,124.44052757931627
35,19.905044153456,2.776198531603538,119.95866299222246,124.43450520175074
36,19.954437212842176,2.785609655241287,119.98018975913496,124.44920259090152
37,20.01169916522645,2.7981234945622457,120.00507939742776,124.4686687806981
38,20.051539831434365,2.8119477953778227,120.02235467284373,124.49007253620263
39,20.059693796080296,2.816201176162949,120.02588607447854,124.4966367553284
40,20.05485738092304,2.8221324212932584,120.02379164404016,124.50577388046139
41,20.046854076066044,2.8230781447516273,120.02032466863562,124.50722899884327
42,20.039782336955483,2.8285978568215238,120.0172600889354,124.51571207980959
43,20.02024476969215,2.828480279962637,120.0087877448679,124.51553155205377
44,19.99982571131381,2.826890200163258,119.99992430705552,124.51308940293806
45,19.968532457684628,2.8217298426551105,119.98632305769569,124.50515431296239
46,19.953621334499527,2.818467055233382,119.97983461135271,124.500129627631
47,19.925168940046586,2.813711664529459,119.9674403336733,124.49279590995077
48,19.886458756861295,2.7998695831679625,119.95054916370968,124.47137802545933
49,19.877974637944323,2.7921062778829144,119.94684272982312,124.45931945118622
50,20.331890150761673,2.833712252725199,120.14295517929226,124.52355748029206
51,20.384933528661133,2.8338322067937654,120.16558607951823,124.52374131789736
52,20.43471833241025,2.8417819164946128,120.18677320413651,124.53590746322945
53,20.51525243646154,2.8496489027546317,120.2209373917337,124.54791355100026
54,20.56858529907472,2.8498798209196896,120.2434885283602,124.5482654624995
55,20.639578274209935,2.855019124249987,120.27341646999568,124.55609021698652
56,20.697186273831864,2.8573728210762344,120.29762625304957,124.55966909466628
57,20.760175140883288,2.8603317555096943,120.32402034808916,124.56416407685458
58,20.806513511886035,2.8614668809078116,120.34338634313555,124.56588723677145
59,20.847416370342444,2.8638726644884764,120.36044489341552,124.5695370415977
60,20.90469481786209,2.872033786922056,120.38427672235777,124.58189544688473
61,20.95806411569538,2.8822835632845454,120.40642337938601,124.59736705107989
62,20.99498054219723,2.8884630643317055,120.42170961626357,124.6066681845542
63,21.009844377405102,2.891345050296221,120.42785679758617,124.61099923043051
64,21.019711252065566,2.8964821918915122,120.4319350032519,124.61870862720447
65,21.037577883890552,2.9084762321852877,120.4393148227676,124.63665519132167
66,21.068218227099234,2.9307964638217836,120.45195625036862,124.66985658865462
67,21.099694781356156,2.9575951188115877,120.46492354743107,124.70938720809932
68,21.123899629864468,2.981870996984987,120.4748819921732,124.74488850884433
69,21.149273468021477,2.9988698107005463,120.48530914340141,124.76957612234477
70,21.166968982695984,3.006916118125008,120.49257355477677,124.78121313054439
71,21.178386560610182,3.002328446021494,120.49725750761304,124.77458201062524
72,21.18453652457735,2.9888410944018164,120.4997794255914,124.75502825825848
73,21.18499760986454,2.9719383259023804,120.49996847350047,124.73039792639618
74,21.16934591248716,2.9538599289660623,120.49354887584174,124.70389897367465
75,21.13769518734797,2.940960605094607,120.48055270548025,124.68489207062453
76,21.104679963509707,2.9306079417373367,120.46697550258854,124.6695772218157
77,21.07229524740501,2.9288745488125487,120.45363693935975,124.66700770136613
78,21.041641717717983,2.9293267046047373,120.44099251606022,124.66767810771583
79,21.012858012651154,2.9310512265251103,120.42910260529071,124.67023408749854
80,20.986112567392972,2.9346193438871055,120.4180400476124,124.67551775917302
81,20.961747186824255,2.936276418794272,120.40794966246997,124.6779693731566
82,20.941428011785142,2.9388487959053284,120.39952595114389,124.68177242148414
83,20.919692847277137,2.9380528010817386,120.39050616126381,124.6805959642782
84,20.895621126459737,2.934153572645047,120.38050578993352,124.67482840934281
85,20.87136751848287,2.928010828992723,120.37041819718505,124.66572678589594
86,20.84863907187144,2.9220610157835214,120.36095430613726,124.65689280229842
87,20.82775400044246,2.9149860543732817,120.35224887712445,124.64636481385524
88,20.808520544992017,2.9088738753562535,120.34422415900988,124.63724891262774
89,20.79296161605307,2.903583709630197,120.33772712385965,124.62934351156815
90,20.780490300898407,2.900209117203271,120.33251589095356,124.62429313475914
91,20.76763202222988,2.8978191462912792,120.3271396868427,124.62071277540039
92,20.756915059090776,2.89620057793386,120.32265624908403,124.61828635865362
93,20.751523846014543,2.8962587651171496,120.3203999617702,124.6183736113079
94,20.745453551559976,2.894574138379245,120.31785876906724,124.61584677577605
95,20.739633973524313,2.891805725622997,120.31542183493477,124.61169113268429
96,20.73620769631645,2.886618565174998,120.31398676986718,124.60389400443255
97,20.749481158607814,2.881167461818392,120.31954491946979,124.59568501470292
98,20.75982923608978,2.8773452514626485,120.32387562311108,124.58991975831609
99,21.728419400082796,2.953415712004125,120.71996279464145,124.70324580972081
100,21.937224609775416,3.0082054508325426,120.8030337247822,124.78307493859722
101,22.067265142668944,3.013137779271282,120.85437035027593,124.7901899075373
102,22.22215850009818,3.0188478118684503,120.91512490442764,124.79841219637302
103,22.349756967806275,3.019856007286328,120.96485618586514,124.79986235430044
104,22.488680998734885,3.0330172959606196,121.01867976744758,124.8187488690771
105,22.62298346852504,3.0418803273682338,121.07039764977023,124.83142124185767
106,22.75474589321237,3.0560971505334042,121.12083988704752,124.85167155947481
107,22.873553689269347,3.0720523255987704,121.16607294400166,124.87428608665878
108,22.98531757503635,3.093461049313844,121.20841025726406,124.90444652059735
109,23.104198912892468,3.1213833428890876,121.25321838498193,124.94347108453191
110,23.226753373160548,3.1462885632536883,121.29917025718856,124.97798551625357
111,23.33073086492187,3.1593884021385317,121.3379669634363,124.99603019553972
112,23.411719922875935,3.164536632522738,121.36806648587842,125.00310127411545
113,23.47614165087306,3.1710829856032916,121.39193451282605,125.01207607438002
114,23.528723603211404,3.1890118142005353,121.41136744697044,125.03656128158794
115,23.58131726535299,3.220033854265669,121.43076131402674,125.07860437734179
116,23.631421341735674,3.2505278715669617,121.44919695890121,125.11953894238239
117,23.675570147812323,3.266369303001636,121.46540901367308,125.1406528547983
