nodenumber,sound-pressure,sound-intensity,rms_spldb,rms_sildb
21749,1632.5372244673406,70418.57190539355,158.23666194013668,168.47687213294574
21750,1993.4202320646532,37193.750761857555,159.9713773224321,165.70469976504734
21751,1593.8760090099468,67843.53158171127,158.02849076045388,168.31508446951037
21752,595.0241836613728,7730.163179581563,149.4700924304426,158.88188661737706
21753,2041.9574429358208,56655.66910718541,160.18033381832257,167.53243372959943
21754,947.9857078945671,13015.947706687408,153.5154358834962,161.1447579509608
21755,5204.666010219166,138560.51607856518,168.30725739737773,171.4163949223718
21756,1107.6222447602293,6250.099386646986,154.86723347166543,157.95886923380743
21757,1607.9052861154598,58982.05674718109,158.1046093465003,167.70719912644014
21758,1340.9143660573607,24598.877787877325,156.52742096013927,163.90915294841216
21759,1672.6904399545388,27232.268385622712,158.4477115818914,164.35083818582982
21760,549.6056831844824,7105.391693595452,148.78042438444965,158.51588023949378
21761,848.8983767440332,10154.117593243227,152.55651414929315,160.06642188593986
21762,1649.6290415825035,64413.2809759492,158.32712596122215,168.08975421085108
21763,1139.0457754260017,6405.510605690656,155.11022363968868,158.0655375459519
21764,1083.6693619990233,14663.656384748083,154.67733598606105,161.66242275197732
21765,1602.9018389235753,68642.62432980715,158.0775386296342,168.36593879009743
21766,1642.1911939749727,53389.77739987953,158.28787446582882,167.27458110140444
21767,948.5695182945304,21209.344899228476,153.52078338173277,163.2652725451166
21768,3862.8533015403245,102599.85172049474,165.7175643943681,170.11146733124554
21769,1635.1333471191988,68507.53564356783,158.25046360042737,168.35738345337958
21770,509.4605509539566,6491.83847255357,148.12161130533352,158.12367705339133
21771,1406.6724748640456,51794.9997063785,156.94325987596153,167.14287834943156
21772,3679.1277903207792,182514.3896311915,165.29429754308364,172.6129711038737
21773,1043.8853591901309,10985.542440311056,154.3524562170393,160.40821506228548
21774,1670.6622967162527,38014.168614781636,158.43717351912255,165.7994549673094
21775,871.8250504596216,10073.059532091807,152.7879869586992,160.031614006522
21776,1132.5504539425708,5614.3555090427935,155.06055125636948,157.4929990931858
21777,2657.073559644152,94688.58936313006,162.46747164241054,169.7629764663573
21778,1612.1549657187452,69173.61765842169,158.12753579294852,168.3994048910944
21779,1118.6292833440332,8299.721535575729,154.9531237677247,159.19063521581904
21780,2401.2742656892865,79715.0016855948,161.58823541841383,169.01540059616775
21781,477.34932077413254,5941.534591631367,147.5561262654948,157.73898629931048
21782,1007.9602237179781,9875.548136283063,154.04826797175505,159.9456121021814
21783,1114.4499852328775,5913.22300329966,154.92061174269068,157.7182425770302
21784,1217.8209150435139,46480.419602740876,155.69106865517466,166.67270040000443
21785,798.063104948651,10543.408958292961,152.02014475702856,160.22981052281568
21786,906.2329593736766,10399.93479530396,153.1241971520766,160.17030616401814
21787,1641.914614867386,19705.98595873401,158.28641145839225,162.9459816900245
21788,915.5616626333273,17744.634191290344,153.2131520696237,162.4906705071987
21789,981.2619602615897,10053.424635759959,153.81509935172704,160.0231402663855
21790,457.11365984638877,5504.468784021793,147.17988407528412,157.40715413171552
21791,2537.627599507201,76476.5797504413,162.06795786864222,168.83528456821324
21792,936.8977928667639,10472.475424452241,153.413244403621,160.20049349884314
21793,960.0548980308105,10253.070203871426,153.62532143980695,160.10853931045003
21794,1633.5372052450282,63437.38551086423,158.24198069397008,168.0234527579753
21795,450.277812715113,5168.674158789529,147.04901104228853,157.1337915443503
21796,1666.2281419127182,21436.66943540653,158.41408939176537,163.31157310956172
21797,5599.798758035584,248406.2591791421,168.9428484845405,173.9516253471193
21798,3031.6041374609795,82422.05560768495,163.61284990889965,169.16043441636543
21799,453.8949521381127,4941.782531767435,147.11850714449636,156.93883629910368
21800,1135.5083914680686,6791.19671388197,155.0832070472641,158.3194631042789
