nodenumber,sound-pressure,rms_spldb
1,9395.7987694376,173.43807422444118
2,9383.485553171568,173.42668388058507
3,8818.03285662928,172.8868343408408
4,9334.558649130951,173.38127586123153
5,8861.266778197169,172.92931632007037
6,9281.808250139555,173.33205193126258
7,8135.835092184665,172.18744282975342
8,8841.272418288068,172.90969553285157
9,8176.818441869511,172.23108718235292
10,9223.729292920889,173.27753105416207
11,8782.42897412838,172.8516930111537
12,8160.473912638112,172.2137077021583
13,7376.916251503148,171.3368971474658
14,9172.563733889914,173.2292148478133
15,8693.537023821256,172.76333024721782
16,7416.718198396646,171.38363564887257
17,8103.600586671832,172.15296063090403
18,9129.528389055475,173.18836695543274
19,8597.037345009694,172.6663763525461
20,7399.233021092642,171.36313417871742
21,8016.71190834618,172.05932562479353
22,6686.421073311813,170.48327453770725
23,9100.75130995288,173.16094502390706
24,7344.739078594966,171.2989275290303
25,8505.455219231158,172.57335133436828
26,6728.048295968263,170.53718209268763
27,7913.568676475136,171.94684759988314
28,9080.954476248056,173.14203005710266
29,6704.550655027302,170.50679361389865
30,7263.045024090565,171.20177481451242
31,8431.373436614744,172.49736659074222
32,7808.421101152243,171.8306646147684
33,6145.306905026516,169.7502716272029
34,6646.235320586395,170.43091436882693
35,7160.8636067503785,171.0787081223441
36,9070.231631506493,173.13176764710772
37,8373.399984388048,172.4374368323327
38,6184.104525812655,169.80493651799176
39,7715.120385683296,171.7262542291951
40,6563.472354688787,170.32207329345857
41,7049.508048671139,170.9425763011521
42,6152.39546202207,169.7602849498119
43,9064.974265446943,173.1267315970161
44,8332.609252662405,172.39502041880195
45,7632.715013579987,171.63298103108963
46,6458.988639410214,170.18269050015405
47,6088.142486425365,169.66909624825237
48,6943.0739555631335,170.81043591186273
49,9060.614743954175,173.12255337988105
50,5735.9207674296385,169.15146295907232
51,8299.60695118032,172.36055060177105
52,7564.584029874401,171.55510111725653
53,5766.741743065011,169.1980101360127
54,6339.904266200021,170.02105408670528
55,6000.837265640973,169.54363707599188
56,6845.289347391032,170.6872362926418
57,9049.39203160662,173.11178814333786
58,8267.083653505766,172.3264467310676
59,5735.901436810133,169.15143368671704
60,7506.241738938839,171.48785102233208
61,6220.166746283752,169.85544062947645
62,5891.569339749553,169.3840199546603
63,9024.369249495097,173.08773722672498
64,6762.359835588075,170.58136561718587
65,8227.860442172361,172.28513842167953
66,5679.070658015891,169.06494552939995
67,7453.1403462386,171.42618607236955
68,6109.6593874868195,169.69974006814004
69,5767.584594997312,169.19927955022268
70,5472.120297258437,168.7425128107469
71,8976.325287171841,173.0413717329301
72,6695.71509939474,170.4953394123711
73,8178.150617286338,172.23250218089348
74,5601.586929973768,168.94562168861964
75,5504.447089936553,168.79367411745633
76,7401.471759956394,171.3657618155948
77,8905.390239758237,172.97245919215027
78,5641.596158811621,169.00743998515327
79,6016.711957615205,169.5665845006565
80,8111.619701054803,172.1615517134756
81,6643.752529771119,170.42766903143317
82,5489.866444643373,168.77063567131444
83,5503.048058751022,168.79146619814696
84,8829.307230626313,172.8979326685339
85,7350.016400740148,171.3051662500179
86,5944.261309996285,169.46135794226538
87,5526.189441729635,168.82791546194807
88,8033.908648783762,172.07793787049434
89,8742.358018275858,172.8119718428515
90,5455.491344214807,168.71607750774328
91,6602.565863120242,170.37365492980365
92,5390.37712140951,168.61178309367511
93,7295.693316126721,171.2407314782338
94,7962.34000741634,172.00021446399523
95,8627.9358338443,172.69753821841124
96,5893.372544678097,169.38667799731846
97,5430.932388560379,168.67688800978738
98,5398.901583718685,168.62550830298179
99,6568.843902006974,170.32917892035354
100,5434.304502220377,168.682279481383
101,7888.44206896611,171.91922489701884
102,8497.840992395373,172.56557209702837
103,5274.596150262413,168.4231843559662
104,7246.554214042845,171.1820310000292
105,5479.677006294457,168.7544992910133
106,7802.782373017841,171.82438997073018
107,8359.274795144367,172.42277212801642
108,5862.169935642971,169.3405681635224
109,9857.909976207162,173.85509704271513
110,7207.830081671305,171.1354908862561
111,5318.373166516177,168.49497621813572
112,6538.912490569167,170.28951059260166
113,5359.385874817132,168.561700632596
114,8217.756943463473,172.27446592654277
115,9652.850865910328,173.67251201677436
116,5471.6938845478,168.74183594001695
117,5167.988000633356,168.2458300190276
118,7719.620804469638,171.7313194442874
119,7166.599729793376,171.08566306380072
120,9253.369285604647,173.30539797548212
121,8084.217276293269,172.132159633925
122,6519.728262198563,170.2639899869814
123,5847.392393355074,169.31864485572135
124,7643.386859317288,171.64511691368057
125,8740.49321700632,172.81011888902066
126,7969.757526357149,172.00830225725994
127,5220.345835268614,168.333385584979
128,5315.007098938123,168.4894770651394
129,7738.929092430739,171.7530174362288
130,7121.627673032053,171.03098537695462
131,8333.19911319037,172.39563526607935
132,7885.905433555424,171.9164313823691
133,5444.909255899681,168.69921301193392
134,7852.010573383343,171.87901760155827
135,8054.539212639958,172.10021409012583
136,8116.744563666265,172.16703766286727
137,7900.355698431561,171.93233298693036
138,7577.407838082134,171.5698133440803
139,5083.555181625565,168.10275092980007
140,6508.394104660202,170.24887694711526
141,7081.703605212309,170.98215500702193
142,7945.97537358656,171.9823443815703
143,7525.953626449389,171.51063084569788
144,5843.552515595344,169.31293911407192
145,6491.443797649654,170.22622611399464
146,7894.68580507754,171.92609709701048
147,5297.690941608267,168.46113246051164
148,7492.637488859213,171.4720945054071
149,5118.335901761252,168.16197576656907
150,5390.027808417494,168.61122020311234
151,7045.404047465741,170.93751817772304
152,7770.409272532917,171.78827796626916
153,7483.625828950314,171.46164139154143
154,7467.947170003395,171.4434248264734
155,7501.10330964475,171.48190302402045
156,7627.914104216444,171.6275159654036
