nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      co_ppm_dry,      no_ppm_dry,          o2_dry,         co2_dry,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      2778,-4.408323627E-02, 5.494000164E-01,-4.408323628E-02, 1.972569754E+03, 2.250672118E+03, 1.028863256E+01, 9.120619378E+00, 1.062193475E+01,-8.342661479E+00,-2.123472996E+00,-6.181966802E+00
      2779,-4.408323627E-02, 5.636165314E-01,-4.408323628E-02, 3.244858413E+03, 2.629333774E+03, 7.742928883E+00, 1.138578500E+01, 1.111477792E+01,-9.164547686E+00,-4.251854364E+00,-4.423690961E+00
      2780,-4.408323627E-02, 5.716376259E-01,-4.408323628E-02, 3.538565585E+03, 2.597771837E+03, 6.665357568E+00, 1.242544944E+01, 1.113235616E+01,-9.114004418E+00,-5.493867875E+00,-2.918865465E+00
      2781,-4.408323627E-02, 5.803362764E-01,-4.408323628E-02, 3.457375959E+03, 2.439321735E+03, 5.974895602E+00, 1.312829473E+01, 1.096293973E+01,-8.648874009E+00,-6.432086750E+00,-1.589552932E+00
      2782,-4.408323627E-02, 5.897697174E-01,-4.408323628E-02, 3.132169566E+03, 2.255953964E+03, 5.679840531E+00, 1.340089914E+01, 1.040216233E+01,-7.755388976E+00,-6.812878614E+00,-9.290976325E-01
      2783,-4.311835369E-02, 5.562202167E-01,-4.311835373E-02, 2.687636997E+03, 2.507735223E+03, 9.126002497E+00, 1.011556828E+01, 1.098714709E+01,-9.069476685E+00,-3.024150952E+00,-5.274531289E+00
      2784,-4.172939344E-02, 5.562202001E-01,-4.172939343E-02, 2.734360243E+03, 2.526322495E+03, 9.254365122E+00, 9.979142035E+00, 1.093630181E+01,-9.198031170E+00,-3.081689232E+00,-4.795045186E+00
      2785,-4.172939344E-02, 5.494000000E-01,-4.172939343E-02, 1.977083598E+03, 2.239250448E+03, 1.054688685E+01, 8.873100908E+00, 1.065663962E+01,-8.852589049E+00,-1.876744614E+00,-5.484500432E+00
      2786,-4.311835240E-02, 5.494000000E-01,-4.311835229E-02, 1.972201266E+03, 2.244580860E+03, 1.040243142E+01, 9.012662847E+00, 1.068204207E+01,-8.601250298E+00,-1.954044507E+00,-5.943829896E+00
      2787,-4.311835369E-02, 5.636165314E-01,-4.311835373E-02, 3.324086068E+03, 2.662328248E+03, 7.816016278E+00, 1.129703397E+01, 1.115637803E+01,-9.291804840E+00,-4.362509380E+00,-4.136767397E+00
      2788,-4.172939344E-02, 5.636165146E-01,-4.172939343E-02, 3.431333496E+03, 2.708538973E+03, 7.920950190E+00, 1.116794489E+01, 1.111870017E+01,-9.333337431E+00,-4.476444313E+00,-3.664016611E+00
      2789,-4.311835369E-02, 5.716376259E-01,-4.311835373E-02, 3.667005388E+03, 2.646876061E+03, 6.711896225E+00, 1.235320734E+01, 1.121687667E+01,-9.210769635E+00,-5.670284266E+00,-2.629157917E+00
