nodenumber,x-coordinate,y-coordinate,z-coordinate
1,-0.05226169154,0.1341728717,-0.04600000381000001
2,-0.05146336554999999,0.1344841123,-0.04600000381000001
3,-0.05066504329,0.13479533789999998,-0.04600000381000001
4,-0.04986339061999999,0.13509790599999996,-0.04600000381000001
5,-0.049055464569999985,0.13538327809999998,-0.04600000381000001
6,-0.048247534780000004,0.13566866519999998,-0.04600000381000001
7,-0.047439605,0.1359540373,-0.04600000381000001
8,-0.046631675210000015,0.13623940939999998,-0.04600000381000001
9,-0.04582374543000001,0.1365247816,-0.04600000381000001
10,-0.04500757158000001,0.1367856413,-0.04600000381000001
11,-0.04419093207,0.1370450556,-0.04600000381000001
12,-0.04337429628,0.137304455,-0.04600000381000001
13,-0.04255765303999998,0.1375638545,-0.04600000381000001
14,-0.04174101352999999,0.13782325389999994,-0.04600000381000001
15,-0.04091966897,0.13806734980000002,-0.04600000381000001
16,-0.04009521008,0.138300702,-0.04600000381000001
17,-0.03927074745,0.1385340542,-0.04600000381000001
18,-0.03844628483,0.13876739140000002,-0.04600000381000001
19,-0.03762182593000001,0.1390007436,-0.04600000381000001
20,-0.03679538146,0.139226988,-0.04600000381000001
21,-0.035963974889999986,0.13943424819999994,-0.04600000381000001
22,-0.03513257205,0.13964150849999998,-0.04600000381000001
23,-0.03430116921999999,0.1398487687,-0.04600000381000001
24,-0.033469766379999995,0.140056029,-0.04600000381000001
25,-0.0326375477,0.14025998120000002,-0.04600000381000001
26,-0.03180081397,0.14044436810000002,-0.04600000381000001
27,-0.03096335568,0.140625447,-0.04600000381000001
28,-0.03012589552,0.140806511,-0.04600000381000001
29,-0.029288439080000006,0.14098758999999994,-0.04600000381000001
30,-0.028450980780000003,0.14116866890000002,-0.04600000381000001
31,-0.02760959789,0.14133052529999998,-0.04600000381000001
32,-0.02676685154,0.1414851248,-0.04600000381000001
33,-0.025924101469999992,0.14163970949999996,-0.04600000381000001
34,-0.02508135512000001,0.14179432390000002,-0.04600000381000001
35,-0.02423860878,0.1419489235,-0.04600000381000001
36,-0.023393917830000003,0.142092526,-0.04600000381000001
37,-0.022546688089999992,0.1422203034,-0.04600000381000001
38,-0.021699458360000003,0.14234808089999998,-0.04600000381000001
39,-0.02085222676000001,0.1424758434,-0.04600000381000001
40,-0.02000499889,0.1426036209,-0.04600000381000001
41,-0.01915754564,0.1427298933,-0.04600000381000001
42,-0.01830666512,0.1428305209,-0.04600000381000001
43,-0.01745578274,0.1429311484,-0.04600000381000001
44,-0.01660490222,0.14303177599999994,-0.04600000381000001
45,-0.015754019839999998,0.1431323886,-0.04600000381000001
46,-0.014903139319999996,0.14323303099999998,-0.04600000381000001
47,-0.01405030582,0.1433154792,-0.04600000381000001
48,-0.013196626680000002,0.1433886588,-0.04600000381000001
49,-0.012342947539999998,0.14346183839999996,-0.04600000381000001
50,-0.012342947539999998,0.14346183839999996,-0.04421616718
51,-0.013201416470000005,0.1433882564,-0.04418691619999999
52,-0.014059497040000006,0.1433146894,-0.04415757954
53,-0.014916704040000003,0.1432314068,-0.044128008190000005
54,-0.01577196084,0.1431302726,-0.04409825802
55,-0.01662665978,0.1430291981,-0.04406833649000002
56,-0.017481073740000002,0.1429281533,-0.04403828456999999
57,-0.018335212019999998,0.14282713829999996,-0.04400804266
58,-0.01918928698,0.1427261382,-0.04397756606000002
59,-0.020039608700000003,0.1425983906,-0.04394686222
60,-0.02088930085,0.1424702555,-0.04391593114
61,-0.021738544110000004,0.14234218,-0.04388478398
62,-0.02258709632,0.14221420880000002,-0.04385355486999999
63,-0.02343541196999999,0.1420862675,-0.04382200912
64,-0.02428078651,0.1419411898,-0.04379004612999998
65,-0.02512355521000001,0.14178657530000002,-0.043757941570000014
66,-0.02596554533000001,0.1416321099,-0.043725583700000015
67,-0.02680686301999999,0.1414777935,-0.04369288683
68,-0.027647363019999985,0.14132359619999998,-0.04365989193
69,-0.028485661370000005,0.1411611736,-0.04362648352999999
70,-0.02931905352,0.14098097380000005,-0.043592676519999984
71,-0.030151315030000007,0.1408010274,-0.043558623640000016
72,-0.030981935560000003,0.14062143859999998,-0.043524459000000015
73,-0.031810980290000006,0.1404421777,-0.04349002987
74,-0.03263818845,0.1402633339,-0.0434554331
75,-0.033472105860000004,0.14005544779999998,-0.043445806950000006
76,-0.03430569172,0.1398476362,-0.04343473166
77,-0.035139016810000014,0.1396398991,-0.043422352519999985
78,-0.03597205876999999,0.1394322217,-0.04340885207
79,-0.03680491075,0.1392246038,-0.043394312260000005
80,-0.037632439289999986,0.1389977336,-0.043378949170000014
81,-0.03845797852,0.1387640685,-0.04336272552999999
82,-0.03928324208,0.1385305077,-0.043345849960000016
83,-0.04010826349,0.1382969916,-0.04332840815
84,-0.04093307628999999,0.13806355,-0.04331059009
85,-0.04175420851,0.1378190517,-0.04329240322
86,-0.0425709188,0.1375596374,-0.04327339306
87,-0.04338745028000001,0.13730026779999996,-0.04325407743
88,-0.044203761969999984,0.13704097269999996,-0.043234538290000006
89,-0.045019555839999996,0.13678184149999995,-0.043214738370000005
