nodenumber,x-coordinate,y-coordinate,z-coordinate
1,0.08119507134,0.2330650836000001,0.06571872532
2,0.08120394498,0.23306037489999998,0.06572874634999999
3,0.08117545396000002,0.2329776883000001,0.06573927402
4,0.08121462166,0.2330543249999999,0.06574309617
5,0.08118461818,0.2329728454,0.06574901938
6,0.08122391999,0.23304860289999998,0.06575849652
7,0.08115269989,0.2328761667000001,0.06576317548999999
8,0.08119530231000001,0.2329668552,0.06576344371000001
9,0.08116220682999999,0.2328712046000001,0.06577258557
10,0.08123174309999999,0.2330432682999999,0.06577482074
11,0.08120459318,0.2329611927,0.06577894092000001
12,0.08117289096000001,0.2328652591,0.06578710675
13,0.08112628012999999,0.2327582836,0.06579093635
14,0.08123804628999999,0.23303833599999996,0.06579191982999999
15,0.08121244609,0.2329558879,0.06579535455
16,0.0811361745,0.2327531725,0.065799959
17,0.08118218929,0.23285964129999995,0.06580272317000001
18,0.08124283701,0.23303388060000005,0.06580962241
19,0.08121870458000001,0.2329510301,0.06581256539000001
20,0.08114686607999999,0.2327472717000001,0.06581459194
21,0.08119002730000001,0.2328543961,0.06581924856
22,0.08109558374000002,0.2326213568,0.06582316756
23,0.08124607801,0.2330298722,0.06582778692
24,0.08115616441000001,0.2327417284,0.06583034247000001
25,0.0812234357,0.23294661940000005,0.06583037972
26,0.08110595495,0.2326160669,0.06583176552999999
27,0.08119628578,0.23284959789999998,0.06583657861000003
28,0.08124759047999998,0.2330264448999999,0.06584627925999999
29,0.08111664653,0.2326102257,0.06584652513
30,0.08116397261999997,0.2327365428000001,0.06584700942
31,0.08122660965,0.2329426855000001,0.06584864110000001
32,0.08120094985000002,0.2328452914999999,0.06585452706
33,0.08105994016,0.2324623466,0.06586059927999999
34,0.0811259374,0.2326047421,0.06586242467000003
35,0.08117023855000001,0.2327318043,0.06586447357999999
36,0.08124750107999999,0.23302353920000002,0.06586493552
37,0.08122807741,0.23293931780000005,0.06586723775000003
38,0.08107085526,0.232456848,0.06586870551
39,0.08120402694000001,0.23284143210000005,0.06587292999
40,0.08113372326,0.2325996459,0.06587926297999999
41,0.08117482811000001,0.23272758719999986,0.06588257849
42,0.08108156174000003,0.2324510813,0.06588361412
43,0.08124580234,0.2330211997,0.06588358431999998
44,0.08122786134,0.2329364865999999,0.06588596851
45,0.08120544254999999,0.23283812399999995,0.0658916384
46,0.08113995938999997,0.2325950116,0.06589688361
47,0.08109083772000003,0.23244567219999995,0.06589969248
48,0.08117779343999999,0.2327238321,0.06590113044
49,0.08124239743,0.23301951589999995,0.06590207666000003
50,0.08101854472999999,0.2322776616,0.06590408087
51,0.08122606575,0.2329342365,0.06590469182000001
52,0.08120508492,0.2328353971000001,0.06591047347
53,0.08103010802999999,0.23227192460000004,0.06591162830999997
54,0.08114448190000001,0.2325908691,0.06591516733000001
55,0.08109859377,0.2324406654,0.06591673195000003
56,0.08117909728999999,0.2327206135,0.06591998041000001
57,0.08123736829,0.233018443,0.06592024863
58,0.08122249693,0.2329326123,0.06592321396
59,0.08104082197000001,0.2322662324,0.06592670828000001
60,0.08120312542000001,0.2328332216,0.06592927873
61,0.08114732057,0.23258723320000005,0.06593389809
62,0.0811047554,0.23243612050000004,0.06593455374
63,0.08123067766000001,0.2330180257999999,0.06593788415
64,0.08117861301,0.232717976,0.06593893467999999
65,0.08121731877,0.232931599,0.06594139337999999
66,0.08105008304,0.23226092760000006,0.0659429878
67,0.08119940012999999,0.2328316867,0.06594786048
68,0.08114844561000001,0.2325841337000001,0.06595288962
69,0.08110924809999999,0.23243208229999995,0.06595301628
70,0.08097046614000003,0.2320631891,0.0659545809
71,0.08122242987,0.23301829400000004,0.06595485657000001
72,0.08117642998999998,0.2327159196,0.06595783681
73,0.08121050894,0.2329312563000001,0.06595903635
74,0.08105778694,0.23225604,0.06596025079
75,0.08098274469,0.2320571691,0.06596150249
76,0.08119400591000002,0.23283077780000005,0.0659660548
77,0.08121269940999999,0.2330192029,0.06597100943
78,0.08111192286,0.2324285656,0.06597194076
79,0.08114787191,0.2325816005000001,0.06597198546000001
80,0.08120209723999999,0.23293156920000005,0.06597595662
81,0.08117256313999999,0.2327144742,0.06597649305999999
82,0.08099345863,0.2320515513000001,0.06597676127999998
83,0.08106385916000003,0.2322516143,0.06597831845
84,0.08120445907000001,0.2330203205000001,0.06598251312999999
85,0.08118700981,0.2328304946,0.06598368287
86,0.08114544302,0.23257966339999994,0.06599099188999999
87,0.08111285418000001,0.23242561519999996,0.06599113345
88,0.08119223266999999,0.2329325378,0.06599203497
89,0.08119637518999999,0.2330216318,0.06599233299
90,0.0810027346,0.2320463508,0.06599324942000001
91,0.08116694540000001,0.23271366950000005,0.06599470228
92,0.08106824011000001,0.2322476952999999,0.06599699706
93,0.08117845654,0.23283088210000005,0.06600057334
94,0.08118451387000003,0.2329336405,0.0660039261
95,0.08118475229,0.23302385210000004,0.06600455195
96,0.08114129305,0.2325783521,0.06600970775000002
97,0.08111205697000001,0.2324232161,0.0660103783
98,0.08101037145,0.23204159740000005,0.06601075828000001
99,0.08115969597999999,0.23271347579999999,0.06601230055
100,0.08091463149,0.23181407150000005,0.06601322442
101,0.08117584884,0.23293496670000002,0.06601312011
102,0.081172131,0.23302657899999996,0.06601562351
103,0.08107081056,0.2322442978999999,0.06601614504999999
104,0.08116839826000001,0.2328318954,0.06601658463
105,0.08092773706,0.2318077683,0.06601944566000001
106,0.08116420358,0.23293711249999996,0.06602513789999999
107,0.08115866780000001,0.2330297977,0.06602549552999999
108,0.0811354816,0.2325776367999999,0.06602796167000001
109,0.08097978681,0.2330927998000001,0.06602799147
110,0.08116127551,0.2328329980000001,0.06602890044
111,0.08101633936000001,0.23203730579999998,0.06602907926
112,0.08115090429999999,0.2327139229,0.06602913141
113,0.08110944182,0.23242139820000005,0.06602950394
114,0.08114440739,0.233033523,0.06603398173999997
115,0.08099009842,0.2330881953000001,0.06603398173999997
116,0.08093841373999999,0.23180225490000006,0.06603488326000001
117,0.08107150346000001,0.23224151129999998,0.06603553891000001
118,0.08115164936000001,0.2329397798,0.06603603810000001
119,0.08115191012999999,0.23283429439999995,0.06603735684999999
120,0.08100433648,0.233082056,0.06604097039
121,0.08112952857999997,0.2330376655,0.0660411045
122,0.08114065975,0.2327150106,0.0660450533
123,0.08112797886,0.23257754739999997,0.06604554504
124,0.08113823086000001,0.23294295370000004,0.06604572386
125,0.08101925999,0.23307591680000006,0.06604634225
126,0.08111410588,0.2330422698999999,0.06604659557000002
127,0.08102055639,0.2320335358,0.06604800372999999
128,0.08110499382000001,0.23242022099999995,0.06604829431000002
