nodenumber,x-coordinate,y-coordinate,z-coordinate
1,-0.07454180717000003,0.24461810290000005,-0.04600000381000001
2,-0.0730811283,0.24504418669999994,-0.04600000381000001
3,-0.07162044942000001,0.2454702705,-0.04600000381000001
4,-0.07015977055,0.2458963543000001,-0.04600000381000001
5,-0.06869909167,0.2463224381,-0.04600000381000001
6,-0.06723841280000001,0.24674853680000006,-0.04600000381000001
7,-0.06577214598999999,0.2471549511,-0.04600000381000001
8,-0.06429409236,0.2475161999,-0.04600000381000001
9,-0.06281604618000003,0.2478774488,-0.04600000381000001
10,-0.06133799254999999,0.24823869759999995,-0.04600000381000001
11,-0.05985994264,0.24859996140000004,-0.04600000381000001
12,-0.05838189274,0.2489612103000001,-0.04600000381000001
13,-0.05690384284,0.24932245910000006,-0.04600000381000001
14,-0.05542579293,0.2496836931,-0.04600000381000001
15,-0.05393517017000001,0.2499889581999999,-0.04600000381000001
16,-0.05244247988,0.25028392669999994,-0.04600000381000001
17,-0.05094978958000001,0.25057888030000003,-0.04600000381000001
18,-0.04945709928999998,0.25087386370000003,-0.04600000381000001
19,-0.04796440898999999,0.2511688173,-0.04600000381000001
20,-0.04647171125,0.2514637709,-0.04600000381000001
21,-0.04497902095,0.2517587543,-0.04600000381000001
22,-0.04348242282999999,0.252033174,-0.04600000381000001
23,-0.04197795317,0.25226056579999995,-0.04600000381000001
24,-0.04047348350000001,0.2524879277,-0.04600000381000001
25,-0.038969010110000014,0.2527153194,-0.04600000381000001
26,-0.03746408224,0.2529427409,-0.04600000381000001
27,-0.03595915437,0.2531701922,-0.04600000381000001
28,-0.03445422649,0.2533976436,-0.04600000381000001
29,-0.03294929488999999,0.2536250651,-0.04600000381000001
30,-0.03143797815,0.2538052201,-0.04600000381000001
31,-0.029924256729999987,0.2539639473,-0.04600000381000001
32,-0.02841053717,0.2541226745,-0.04600000381000001
33,-0.02689681761000001,0.2542814016000001,-0.04600000381000001
34,-0.025383099909999988,0.2544401288,-0.04600000381000001
35,-0.023869380350000004,0.25459885600000004,-0.04600000381000001
36,-0.02235566080000001,0.2547575533,-0.04600000381000001
37,-0.02084189653,0.2549158633,-0.04600000381000001
38,-0.01932249032,0.2550049722,-0.04600000381000001
39,-0.017803080380000003,0.2550940812,-0.04600000381000001
40,-0.0162836723,0.25518316030000004,-0.04600000381000001
41,-0.014764264230000003,0.2552722692,-0.04600000381000001
42,-0.013244855220000002,0.2553613484000001,-0.04600000381000001
43,-0.011725447140000001,0.2554504275,-0.04600000381000001
44,-0.01020603906,0.2555395365,-0.04600000381000001
45,-0.008685885929000001,0.2556148767,-0.04600000381000001
46,-0.007164303213000002,0.2556512952,-0.04600000381000001
47,-0.005642720964000001,0.2556877136,-0.04600000381000001
48,-0.0041211387140000005,0.2557241619,-0.04600000381000001
49,-0.0025993008169999995,0.25574755670000004,-0.04600000381000001
50,-0.002603664994,0.2557369471,-0.043730467559999986
51,-0.004136804490999999,0.2557128072000001,-0.04366321117
52,-0.005669305101,0.2556757927,-0.04359574987999999
53,-0.007201311178999998,0.2556387782,-0.04352803528
54,-0.00873294007,0.25560179349999995,-0.04346007109
55,-0.010262577790000005,0.2555239201,-0.04339185357
56,-0.011790865100000004,0.2554339767,-0.043323371560000004
57,-0.013318465089999995,0.25534406299999995,-0.043254580350000016
58,-0.014845361,0.255254209,-0.043185468760000005
59,-0.01637149043,0.2551643848,-0.04311602190000001
60,-0.01789677516,0.2550745904,-0.04304621741
61,-0.01942112483,0.2549848854999999,-0.04297604039
