nodenumber,x-coordinate,y-coordinate,z-coordinate
1,-0.07197844982000001,0.2231811880999999,-0.04600000381000001
2,-0.07065037637999999,0.22360990939999992,-0.04600000381000001
3,-0.06932231039000003,0.2240386307,-0.04600000381000001
4,-0.06798972934000001,0.2244531065,-0.04600000381000001
5,-0.06664854288,0.2248388678,-0.04600000381000001
6,-0.06530736387000001,0.2252245992,-0.04600000381000001
7,-0.06396618485000001,0.2256103605,-0.04600000381000001
8,-0.06262499838999999,0.2259961218,-0.04600000381000001
9,-0.061283819379999986,0.2263818681,-0.04600000381000001
10,-0.059931647029999986,0.22672712800000006,-0.04600000381000001
11,-0.05857881904,0.22706979510000005,-0.04600000381000001
12,-0.05722599477,0.2274124771000001,-0.04600000381000001
13,-0.05587316303999999,0.2277551591,-0.04600000381000001
14,-0.05452033504999999,0.22809782620000002,-0.04600000381000001
15,-0.05315850675,0.2284027785,-0.04600000381000001
16,-0.05179095268,0.2286809236,-0.04600000381000001
17,-0.05042339861,0.2289590687,-0.04600000381000001
18,-0.04905584455,0.22923722859999995,-0.04600000381000001
19,-0.04768828674999998,0.22951535880000004,-0.04600000381000001
20,-0.04632073268000001,0.2297935188,-0.04600000381000001
21,-0.04495318234,0.2300716490000001,-0.04600000381000001
22,-0.04358562454999998,0.2303498089,-0.04600000381000001
23,-0.04221807047999999,0.2306279391000001,-0.04600000381000001
24,-0.04085051641,0.2309060991,-0.04600000381000001
25,-0.039481941610000015,0.23117917780000005,-0.04600000381000001
26,-0.03810076788,0.2313757688,-0.04600000381000001
27,-0.03671886772,0.23156718910000001,-0.04600000381000001
28,-0.035336963830000005,0.2317586243,-0.04600000381000001
29,-0.03395506367,0.2319500446,-0.04600000381000001
30,-0.03257316351,0.2321414798000001,-0.04600000381000001
31,-0.031191261490000007,0.23233290020000005,-0.04600000381000001
32,-0.0298093576,0.23252432050000002,-0.04600000381000001
33,-0.02842745744,0.2327157408,-0.04600000381000001
34,-0.02704555728,0.23290714620000005,-0.04600000381000001
35,-0.02566365339000001,0.2330985665,-0.04600000381000001
36,-0.02427829802,0.2332631499,-0.04600000381000001
37,-0.02288887464,0.2333888262999999,-0.04600000381000001
38,-0.021499449390000005,0.23351450260000006,-0.04600000381000001
39,-0.020110026,0.233640179,-0.04600000381000001
40,-0.01872060262,0.2337658703,-0.04600000381000001
41,-0.01733096875,0.23388920719999998,-0.04600000381000001
42,-0.015938237309999995,0.2339703888,-0.04600000381000001
43,-0.014545505869999998,0.2340516001,-0.04600000381000001
44,-0.013152775350000005,0.2341327965,-0.04600000381000001
45,-0.011760043910000002,0.2342139781000001,-0.04600000381000001
46,-0.010367311540000002,0.2342951894,-0.04600000381000001
47,-0.008973172866,0.2343468219,-0.04600000381000001
48,-0.007578548975000002,0.2343831658,-0.04600000381000001
49,-0.00618392555,0.2344194949,-0.04600000381000001
50,-0.00618392555,0.2344194949,-0.04386131465
51,-0.007588085252999998,0.2343829125000001,-0.04380781949
52,-0.008991939015999999,0.23434636,-0.04375415668
53,-0.010395063090000005,0.2342935801000001,-0.043700151150000005
54,-0.01179650519,0.23421186210000006,-0.04364628717000002
55,-0.013197331689999996,0.2341302037,-0.04359200969
56,-0.014597616159999997,0.2340485603,-0.043537165970000014
57,-0.01599749364,0.2339669466,-0.043482325970000006
58,-0.017396984619999997,0.2338853627,-0.0434268564
59,-0.01879273355,0.2337593287,-0.043371386830000025
60,-0.02018732391,0.2336331904,-0.04331553726999999
61,-0.021581137549999997,0.2335071266,-0.04325918481000001
62,-0.022974047810000002,0.2333811373000001,-0.043202672149999996
63,-0.02436610498,0.2332551926,-0.04314540326999999
64,-0.025752838700000003,0.2330862284,-0.04308830946999998
65,-0.02713495493000001,0.2328947783,-0.0430306755
66,-0.02851561271,0.2327035218,-0.042972739789999985
67,-0.02989457361,0.2325125039,-0.04291463271
68,-0.03127176687,0.2323217392000001,-0.04285614565000001
69,-0.03264632449,0.23213133219999998,-0.04279728234000001
70,-0.03401863202,0.2319412380000001,-0.042738504710000014
71,-0.03538886085,0.23175142710000005,-0.04268028587
72,-0.03675681353,0.23156194390000004,-0.04262213036
73,-0.03812071681,0.2313730121,-0.04256509244
74,-0.03948171437,0.2311844826,-0.042509268970000014
75,-0.04085899889,0.2309043705,-0.04247688875
76,-0.04223594069,0.2306243032,-0.042441982780000005
77,-0.04361244291,0.23034434020000005,-0.04240469635
78,-0.04498831928000002,0.2300645113,-0.04236510769000002
79,-0.046363405879999986,0.2297848314,-0.04232334346
80,-0.047736942770000006,0.22950546440000005,-0.04227850214
81,-0.049109432850000016,0.229226321,-0.042232841249999986
82,-0.05048086494,0.2289473861,-0.04218552634
83,-0.05185119435000001,0.22866865990000004,-0.04213674366
84,-0.05322055146,0.2283901572,-0.04208666831000001
85,-0.05458256230000001,0.22808206079999999,-0.04203547165
86,-0.05593478307,0.2277395427,-0.041982758790000005
87,-0.05728716031000002,0.22739696500000006,-0.04192969948000002
88,-0.05863862485,0.2270546407,-0.04187585041000002
89,-0.05998922512,0.22671253980000006,-0.04182130842999999
90,-0.00618392555,0.2344194949,-0.04179218784
91,-0.061337493360000016,0.2263664305,-0.041766084729999986
92,-0.06267416477000001,0.22598198060000005,-0.0417102389
93,-0.0075973575,0.23438267409999994,-0.04168682172999999
94,-0.06401091814,0.2255975008,-0.04165405035
95,-0.06534664333,0.2252133191000001,-0.04159727693000001
96,-0.009010189213,0.2343458681999999,-0.04158113151999999
97,-0.0666809231,0.2248295397,-0.04154018685
98,-0.06801462919,0.2244459391,-0.04148272425
99,-0.0104220463,0.2342920005,-0.04147475958
100,-0.06933935732,0.22403311730000008,-0.04142482579
101,-0.011831974609999999,0.2342098057,-0.041368663310000005
102,-0.07065892965,0.22360713780000002,-0.041366685180000015
103,-0.07197844982000001,0.2231811880999999,-0.04130817577000001
104,-0.01324065123,0.2341276705,-0.04126174748
105,-0.01464827545,0.2340456097999999,-0.041153714060000006
106,-0.01605510712,0.2339635938,-0.04104568437
107,-0.01746102795,0.2338798045999999,-0.040936425330000005
108,-0.01886288263,0.23375298079999998,-0.04082714394
109,-0.02026248723,0.23362639550000006,-0.040717117489999996
110,-0.02166058868000001,0.2334999293,-0.040606096390000006
111,-0.02305687591,0.23337364200000005,-0.04049476609
112,-0.02445153147000001,0.2332474738000001,-0.04038193822
113,-0.02583970875,0.2330741882,-0.04026946053
114,-0.02722206898000001,0.2328827083,-0.04015592113
115,-0.02860157378,0.2326916157999999,-0.04004176706
116,-0.029977727680000014,0.2325009853,-0.039927285160000006
117,-0.03135032579,0.23231084639999994,-0.03981205076
118,-0.00618392555,0.2344194949,-0.03979059681
119,-0.032717801629999994,0.23212142289999996,-0.03969608247
120,-0.007606359198999999,0.2343824357,-0.039634943010000014
121,-0.0340809226,0.23193261029999995,-0.03958027065
122,-0.009027906694,0.2343454063000001,-0.03947881609
123,-0.035439886149999995,0.2317443639000001,-0.03946556151
124,-0.0367943421,0.2315567434000001,-0.039350971580000005
125,-0.01044822764,0.2342904806,-0.03932167217
126,-0.038140881810000006,0.2313702255000001,-0.03923858702
127,-0.011866393500000004,0.2342077941,-0.03916493431
128,-0.03948171437,0.2311844826,-0.03912858292
129,-0.04086836055,0.23090246320000005,-0.03906533867
130,-0.013282662259999996,0.2341252267,-0.03900697827
131,-0.04225433245,0.23062057789999996,-0.038997117430000006
132,-0.04363943636,0.23033884170000005,-0.03892420977
133,-0.01469740085,0.2340427339,-0.03884737566000001
134,-0.04502330719999998,0.2300573885000001,-0.03884677961
135,-0.0464056246,0.2297762334,-0.03876508772
