nodenumber,x-coordinate,y-coordinate,z-coordinate
1,0.001707522199,0.2544381022,0.024689901620000003
2,0.00172740058,0.2544380724,0.02469019778
3,0.0016877190209999993,0.2544379234,0.024691645059999996
4,0.0017471415920000007,0.254437834,0.02469254099
5,0.0016682170100000002,0.2544375062,0.024695485830000002
6,0.0017102926500000002,0.254437536,0.02469538152
7,0.001729681855,0.254437536,0.024695679550000002
8,0.0017665309130000004,0.25443741680000004,0.024696910750000002
9,0.001690937905,0.2544373572,0.024697039280000003
10,0.001748898416,0.2544373274,0.02469792403
11,0.0016718383410000007,0.2544369698,0.02470072731
12,0.0016492289720000002,0.2544368804000001,0.02470134199
13,0.0017807765400000004,0.2544369698,0.02470142953000001
14,0.0017677365099999997,0.2544369102,0.02470207773
15,0.001713775797,0.25443685050000003,0.0247023087
16,0.001732531935,0.2544368207,0.024702560159999998
17,0.0016950112770000006,0.2544366717,0.02470391244
18,0.001751080621,0.25443664190000004,0.02470463328
19,0.001653202926,0.2544363737,0.02470637858
20,0.001781554311,0.2544364631,0.02470634133
21,0.001676452113,0.25443628430000004,0.024707455189999998
22,0.0017692253460000005,0.2544362545,0.02470846847
23,0.0016309367490000002,0.2544361055,0.024709088730000002
24,0.0017181138970000006,0.2544359565,0.024710979309999995
25,0.0017360606,0.2544359565,0.024711109700000008
26,0.0017825110120000005,0.2544358671,0.02471238561
27,0.0017001157390000002,0.2544357777,0.02471257746
28,0.0016583021500000007,0.25443571809999993,0.024712890389999995
29,0.0017537666719999994,0.2544357777,0.02471291274000001
30,0.001635211171,0.2544355989,0.024713872
31,0.0016822711330000005,0.25443542,0.024716002870000003
32,0.001771047828,0.25443544979999994,0.02471630275
33,0.0016135205509999993,0.254435122,0.02471862733
34,0.0017836774929999996,0.254435122,0.02471975796
35,0.0016407370569999993,0.254434973,0.024720111859999998
36,0.001664776239,0.25443488360000005,0.024721225719999997
37,0.0018265784020000005,0.25443500280000003,0.02472114004
38,0.0017234741240000002,0.25443488360000005,0.02472174726000001
39,0.0017403955570000002,0.25443488360000005,0.024721655990000004
40,0.0016180411909999994,0.2544346452,0.024723125620000005
41,0.001757047954,0.2544347644,0.02472305857
42,0.0017064609559999998,0.254434675,0.02472341061
43,0.0017732623959999996,0.2544344962,0.02472583577000001
44,0.001827345579,0.2544344962,0.024726115170000004
45,0.0016895490700000006,0.2544343472,0.02472676151
46,0.0016478017209999999,0.2544341683,0.02472815663
47,0.0017850896110000005,0.2544341981,0.02472868003
48,0.0016239312239999994,0.25443404909999995,0.024729043250000003
49,0.001597207622,0.2544339299,0.02472992986
50,0.0016729251949999995,0.2544338107,0.02473179065
51,0.0018282894739999997,0.25443387030000003,0.024732237679999998
52,0.0016019162720000005,0.2544335127,0.02473411523
53,0.001745686401,0.2544335723,0.02473458275
54,0.0017300535690000006,0.2544335425,0.02473503165
55,0.0017610309879999995,0.2544335127,0.024735407900000003
56,0.0016315161480000002,0.2544332743,0.02473673411
57,0.0017142944269999995,0.2544333339,0.024736864490000003
58,0.0017759362239999996,0.2544333041,0.02473736368000001
